Candidate,District,Result,Endorsed?,Republican Vote,Democratic Vote,Victory Margin,PVI,Contribution,Incumbent?,Trump Alignment,Trump Support in States,Percentage White,Percentage w/ Bachelor's Degree,Percentage Aged 65 or Over,Average Income,Progressivity
Dan Donovan,New York 11,0,1,46.6,53,-6.4,3,-9.4,1,91.32,,58,36.7,17,78735,
John Faso,New York 19,0,1,46.2,51.4,-5.2,2,-7.2,1,91.32,,83,30.9,20,65877,
Peter King,New York 2,1,1,53.1,46.9,6.2,3,3.2,1,80.7,,60,33.2,15,108089,
Tom Reed,New York 23,1,1,54.2,45.8,8.4,6,2.4,1,87.3,,88,27,19,54138,
Claudia Tenney,New York 22,0,1,50.9,49.1,1.8,6,-4.2,1,96.9,,87,25.8,19,57414,
Lee Zeldin,New York 1,1,1,51.5,47.4,4.1,5,-0.9,1,88.8,,74,37.1,18,101166,
Ted Budd,North Carolina 13,1,1,51.5,45.5,6,6,0,1,91.8,,64,29.8,17,54171,
Mark Harris,North Carolina 9,1,1,49.3,48.9,0.4,8,-7.6,0,91.32,,60,35.3,15,64457,
Troy Balderson,Ohio 12,1,1,51.4,47.2,4.2,7,-2.8,1,100,,84,42.4,16,77048,
John Chrin,Pennsylvania 8,0,1,45.4,54.6,-9.2,1,-10.2,0,91.32,,79,25.2,20,56379,
Scott Perry,Pennsylvania 10,1,1,51.3,48.7,2.6,6,-3.4,1,89.7,,74,32.2,17,66783,
Keith Rothfus,Pennsylvania 17,0,1,56.3,43.7,12.6,3,9.6,1,88.5,,87,42.3,20,70243,
Lloyd Smucker,Pennsylvania 11,1,1,59,41,18,14,4,1,94,,84,27.6,18,70750,
Katie Arrington,South Carolina 1,0,1,50.7,49.3,1.4,10,-8.6,0,91.32,,70,40.8,18,73078,
David Kustoff,Tennessee 8,1,1,67.7,30.1,37.6,19,18.6,1,93,,72,30.1,18,60828,
Kevin Brady,Texas 8,1,1,73.4,24.9,48.5,28,20.5,1,91.32,,63,31.9,14,75741,
Pete Sessions,Texas 32,0,1,45.8,52.3,-6.5,5,-11.5,1,97.9,,48,45.6,12,77710,
Dave Brat,Virginia 7,0,1,48.4,50.4,-2,6,-8,1,88.4,,66,40.3,16,82539,
Denver Riggleman,Virginia 5,1,1,53.3,46.7,6.6,6,0.6,0,91.9,,72,30,20,58557,
Cathy McMorris Rodgers,Washington 5,1,1,54.8,45.2,9.6,8,1.6,1,92.3,,83,30.8,17,58180,
Carol Miller,West Virginia 3,1,1,56.4,43.6,12.8,23,-10.2,0,97.8,,93,17.5,21,40913,
Bryan Steil,Wisconsin 1,1,1,54.6,42.3,12.3,5,7.3,0,87.9,,80,30,17,69400,
Martha McSally,Arizona,0,1,47.6,50,-2.4,2,-4.4,0,94.9,43,62.4,27.6,20.9,50068,
Mike Braun,Indiana,1,1,50.9,45,5.9,11,-5.1,0,90.9,48,83.7,24.7,18.8,49446,
Rick Scott,Florida,1,1,50.1,49.9,0.2,3,-2.8,0,84.1,43,59.7,27.3,23.9,47463,
John James,Michigan,0,1,45.8,52.3,-6.5,1,-7.5,0,91.32,42,79.3,27.4,19.9,49847,
Karin Housley,Minnesota,0,1,36.2,60.3,-24.1,-1,-23.1,0,91.32,39,85.7,34.3,18.7,61481,
Roger Wicker,Mississippi,1,1,58.5,39.5,19,11,8,1,90.7,56,60.4,21.1,18.9,39680,
Josh Hawley,Missouri,1,1,51.4,45.6,5.8,10,-4.2,0,86.7,52,83.2,27.5,20,48363,
Matt Rosendale,Montana,0,1,46.8,50.3,-3.5,11,-14.5,0,91.32,51,90.6,29.3,21.4,46328,
Deb Fischer,Nebraska,1,1,57.7,38.6,19.1,13,6.1,1,89.1,49,84.7,29.5,19.2,52686,
Dean Heller,Nevada,0,1,45.4,50.4,-5,1,-6,1,91.6,40,57.6,23.1,18.5,51450,
Bob Hugin,New Jersey,0,1,42.8,54,-11.2,-6,-5.2,0,91.32,35,60,37.4,19,71919,
Kevin Cramer,North Dakota,1,1,55.5,44.5,11,20,-9,0,94.1,58,90,27.4,18.4,59029,
Jim Renacci,Ohio,0,1,46.6,53.4,-6.8,6,-12.8,0,91.32,48,83.2,26.6,20.1,49308,
Lou Barletta,Pennsylvania,0,1,42.6,55.7,-13.1,2,-15.1,0,91.32,42,81.1,29,21.2,53234,
Marsha Blackburn,Tennessee,1,1,54.7,43.9,10.8,14,-3.2,0,88.5,54,78,25.3,19.5,44361,
Ted Cruz,Texas,1,1,50.9,48.3,2.6,5,-2.4,1,92.1,41,48.3,27.8,15.6,53035,
Mitt Romney,Utah,1,1,62.6,30.9,31.7,13,18.7,0,75,50,82.5,31.1,14.5,60922,
Evan Jenkins,West Virginia,0,1,46.3,49.6,-3.3,22,-25.3,0,91.32,62,94.2,19.2,22.4,41059,
Leah Vukmir,Wisconsin,0,1,44.6,55.4,-10.8,2,-12.8,0,91.32,42,86.1,28.4,19.6,52622,
John Barrasso,Wyoming,1,1,67.1,30.1,37,25,12,1,89.1,61,87.2,26.6,18.3,57055,
Matthew Corey,Connecticut,0,0,39.4,59.5,-20.1,-7,-13.1,0,91.32,36,72.8,38,19.7,70048,
Robert Arlett,Delaware,0,0,37.8,60,-22.2,-7,-15.2,0,91.32,40,68.2,30.6,21,59716,
Ron Curtis,Hawaii,0,0,28.9,71.2,-42.3,-14,-28.3,0,91.32,26,36.6,31,20.5,69592,
Geoff Diehl,Massachusetts,0,0,36.2,60.3,-24.1,-15,-9.1,0,91.32,29,77.8,41.2,19,69190,
Tony Campbell,Maryland,0,0,30.3,64.9,-34.6,-14,-20.6,0,91.32,31,56.2,38.2,17.8,73971,
Eric Brakey,Maine,0,0,35.2,54.3,-19.1,-2,-17.1,0,91.32,37,96,29.4,22.7,49462,
Mick Rich,New Mexico,0,0,30.5,54.1,-23.6,-3,-20.6,0,91.32,38,44.3,26.4,20.1,44803,
Chele Farley,New York,0,0,33,67,-34,-10,-24,0,91.32,32,59.4,34.5,18.7,58878,
Corey Stewart,Virginia,0,0,41,57,-16,-3,-13,0,91.32,40,66.9,36.7,17.8,64902,
Lawrence Zupan,Vermont,0,0,27.4,67.3,-39.9,-16,-23.9,0,91.32,28,95.6,34.9,21,54166,
Susan Hatchinson,Washington,0,0,41.6,58.4,-16.8,-8,-8.8,0,91.32,36,76.4,33.1,18.2,61366,
